Link,Description
KML - Bus Garage Locations (http://data.cityofchicago.org/dataset/CTA-KML-Bus-Garage-Locations/t52q-6zfs),"Point data representing bus garage and facilities maintenance locations. To view or use these files, special GIS software, such as Google Earth, is required."
KML - Bus Routes (http://data.cityofchicago.org/dataset/CTA-KML-Bus-Routes/atza-xq2n),"Line data representing CTA bus routes. To view or use these files, special GIS software, such as Google Earth, is required."
KML - Bus Stops (http://data.cityofchicago.org/dataset/CTA-KML-Bus-Stops/fxnt-b8ay),"Point data representing over 11,000 CTA bus stops. The Stop ID is used to get Bus Tracker information. Current stops (coded as 1 in status field), Flag Stops – status 2, and stops both Temporarily in Service (Status 5) or Out of service (Status 6) are included. To view or use these files, special GIS software, such as Google Earth, is required."
KML - Bus Turnarounds (http://data.cityofchicago.org/dataset/CTA-KML-Bus-Turnarounds/4rqm-6f79),"Point data representing locations of all bus turnarounds, including those that are not located at rail stations. To view or use these files, special GIS software, such as Google Earth, is required."
KML - Fare Media Sales Locations (http://data.cityofchicago.org/dataset/CTA-KML-Fare-Media-Sales-Locations/uwhj-p95a),"Point data representing sites that sell/vend CTA Fare Media. Details include location type (ex. rail station, store) type of media sold (ex. Visitor Pass, Chicago Card) and for many locations the form of payment accepted."
KML - 'L' (Rail) Lines (http://data.cityofchicago.org/dataset/CTA-KML-L-Rail-Lines/m3d6-pubu),"Lines representing approximately where the CTA 'L' (rail) lines are. To view or use these files, special GIS software, such as Google Earth, is required."
KML - 'L' (Rail) Stations (http://data.cityofchicago.org/dataset/CTA-KML-L-Rail-Stations/bs96-uama),"Points representing CTA Rail Stations. To view or use these files, special GIS software, such as Google Earth, is required. (Note: Station locations are based on the facility, and are not necessarily where an entrance to station would be.)"
KML - Park & Ride Locations (http://data.cityofchicago.org/dataset/CTA-KML-Park-Ride-Locations/pphg-3iz2),"Point data representing CTA park and ride locations. Details include number of spaces, cost, and rail station. To view or use these files, special GIS software, such as Google Earth, is required."
List of Fare Media Sales Outlets (http://data.cityofchicago.org/dataset/CTA-List-of-Fare-Media-Sales-Outlets/73v3-mm4z),"This list shows sales outlets that sell CTA fare media, including rail stations, currency exchanges and other retail outlets."
Map of Fare Media Sales Outlets (http://data.cityofchicago.org/dataset/CTA-Map-of-Fare-Media-Sales-Outlets/wus2-83qa),"This list shows sales outlets that sell CTA fare media, including rail stations, currency exchanges and other retail outlets."
Ridership - Annual Boarding Totals (http://data.cityofchicago.org/dataset/CTA-Ridership-Annual-Totals/w8km-9pzd),This dataset gives annual ridership totals dating to the mid-1980s. Numbers are presented in boardings (see attached readme file for information on how these numbers are calculated).
