Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
01/02/2015,ACUR,2D,,WHI,S894288,IL,701 N. Sacramento,(773) 265-7605,6804045
01/02/2015,ACUR,2D,,GRY,REQ,IL,701 N. Sacramento,(773) 265-7605,6804052
01/02/2015,ACUR,4D,,GRY,P684511,IL,701 N. Sacramento,(773) 265-7605,6804012
01/02/2015,AUDI,4D,,BLK,R447506,IL,701 N. Sacramento,(773) 265-7605,6804060
01/02/2015,AUDI,4D,,WHI,S710737,IL,701 N. Sacramento,(773) 265-7605,2804041
01/02/2015,BMW,4D,,BLK,S468961,IL,701 N. Sacramento,(773) 265-7605,6804059
01/02/2015,BUIC,4D,,GRN,V707556,IL,701 N. Sacramento,(773) 265-7605,6804040
01/02/2015,BUIC,4D,,WHI,E312313,IL,400 E. Lower Wacker,(312) 744-7550,919306
01/02/2015,CADI,4D,,GRY,S209572,IL,10300 S. Doty,(773) 568-8495,2753999
01/02/2015,CADI,4D,,SIL,784R440,IL,10300 S. Doty,(773) 568-8495,2753998
01/02/2015,CADI,4D,,BLU,00112891,IN,701 N. Sacramento,(773) 265-7605,6804062
01/02/2015,CHEV,4D,,BLK,,,701 N. Sacramento,(773) 265-7605,6804063
01/02/2015,CHEV,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2753975
01/02/2015,CHEV,4D,,GLD,V546804,IL,701 N. Sacramento,(773) 265-7605,6804029
01/02/2015,CHEV,4D,,GLD,S276792,IL,10300 S. Doty,(773) 568-8495,2754020
01/02/2015,CHEV,4D,,SIL,487R449,IL,10300 S. Doty,(773) 568-8495,2753981
01/02/2015,CHEV,4D,,SIL,N143620,IL,701 N. Sacramento,(773) 265-7605,6804050
01/02/2015,CHEV,4D,,BLU,R550709,IL,701 N. Sacramento,(773) 265-7605,6804051
01/02/2015,CHEV,4D,,SIL,E154965,IL,10300 S. Doty,(773) 568-8495,2753979
01/02/2015,CHEV,4D,,RED,385YCE,IN,701 N. Sacramento,(773) 265-7605,2753984
01/02/2015,CHEV,4D,,BLK,R640438,IL,701 N. Sacramento,(773) 265-7605,6804024
01/02/2015,CHEV,4D,,TAN,S487292,IL,400 E. Lower Wacker,(312) 744-7550,919287
01/02/2015,CHEV,4D,,GRN,V515832,IL,10300 S. Doty,(773) 568-8495,2753991
01/02/2015,CHEV,4D,,WHI,P862605,IL,701 N. Sacramento,(773) 265-7605,6804009
01/02/2015,CHEV,4D,,TAN,E154674,IL,701 N. Sacramento,(773) 265-7605,6804043
01/02/2015,CHEV,4D,,SIL,V164048,IL,701 N. Sacramento,(773) 265-7605,6804068
01/02/2015,CHEV,4D,,WHI,P861096,IL,10300 S. Doty,(773) 568-8495,2754003
01/02/2015,CHEV,4D,,BLU,S905534,IL,701 N. Sacramento,(773) 265-7605,6804058
01/02/2015,CHEV,4D,,SIL,S468890,IL,10300 S. Doty,(773) 568-8495,2753985
01/02/2015,CHEV,4D,,WHI,,,701 N. Sacramento,(773) 265-7605,6804064
01/02/2015,CHEV,LL,,BRO,5801749,IL,10300 S. Doty,(773) 568-8495,2753995
01/02/2015,CHEV,LL,,BRO,,IL,701 N. Sacramento,(773) 265-7605,6804049
01/02/2015,CHEV,LL,TK,SIL,E315787,IL,701 N. Sacramento,(773) 265-7605,6804007
01/02/2015,CHEV,LL,TK,SIL,S420806,IL,701 N. Sacramento,(773) 265-7605,6804006
01/02/2015,CHEV,VN,,WHI,N574350,IL,701 N. Sacramento,(773) 265-7605,6804036
01/02/2015,CHRY,4D,,GRY,644RC,IN,10300 S. Doty,(773) 568-8495,2753976
01/02/2015,CHRY,4D,,WHI,V298256,IL,701 N. Sacramento,(773) 265-1846,1533035
01/02/2015,CHRY,4D,,BLK,V809232,IL,701 N. Sacramento,(773) 265-7605,6804026
01/02/2015,CHRY,4D,,RED,K601884,IL,10300 S. Doty,(773) 568-8495,2753992
01/02/2015,DODG,4D,,GRN,600R576,IL,701 N. Sacramento,(773) 265-7605,6804037
01/02/2015,DODG,4D,,SIL,S946244,IL,10300 S. Doty,(773) 568-8495,2753972
01/02/2015,DODG,4D,,BLK,E178036,IL,701 N. Sacramento,(773) 265-7605,6804031
01/02/2015,DODG,LL,TK,BLK,H249948,IL,701 N. Sacramento,(773) 265-7605,6804004
01/02/2015,DODG,PK,,BLK,1357346,IL,701 N. Sacramento,(773) 265-7605,6804057
01/02/2015,DODG,VN,,GRN,R474869,IL,400 E. Lower Wacker,(312) 744-7550,919294
01/02/2015,DODG,VN,,WHI,L892651,IL,400 E. Lower Wacker,(312) 744-7550,919327
01/02/2015,DODG,VN,,WHI,168455-B,IL,400 E. Lower Wacker,(312) 744-7550,919321
01/02/2015,FORD,2T,,TRQ,L641878,IL,10300 S. Doty,(773) 568-8495,2753996
01/02/2015,FORD,4D,,WHI,S895664,IL,10300 S. Doty,(773) 568-8495,2753987
01/02/2015,FORD,4D,,WHI,R992873,IL,701 N. Sacramento,(773) 265-7605,6804005
01/02/2015,FORD,4D,,GRY,7DTS335,CA,400 E. Lower Wacker,(312) 744-7550,919292
01/02/2015,FORD,4D,,BLU,S879522,IL,10300 S. Doty,(773) 568-8495,2753993
01/02/2015,FORD,4D,,GRY,P143762,IL,400 E. Lower Wacker,(312) 744-7550,919290
01/02/2015,FORD,4D,,RED,X283165,IL,701 N. Sacramento,(773) 265-7605,6804028
01/02/2015,FORD,4D,,SIL,E272535,IL,400 E. Lower Wacker,(312) 744-7550,919312
01/02/2015,FORD,4D,,BLK,K703255,IL,701 N. Sacramento,(773) 265-7605,6804044
01/02/2015,FORD,4T,,RED,P321179,IL,10300 S. Doty,(773) 568-8495,2753989
01/02/2015,FORD,LL,,WHI,304725D,IL,701 N. Sacramento,(773) 265-7605,6804030
01/02/2015,FORD,PK,,WHI,1273395,IL,701 N. Sacramento,(773) 265-7605,6804017
